COAL,CARBON_INTENSITY,LOW_CARBON,ZERO_CARBON
15066.0,525.0,7636.5,7577.0
15061.5,527.0,7563.5,7514.0
15011.5,528.5,7498.0,7456.0
14989.0,531.0,7437.5,7400.0
15103.5,534.5,7388.0,7356.0
15331.0,536.0,7391.0,7361.0
14993.0,531.5,7443.0,7413.0
13686.5,515.5,7509.0,7474.0
13129.5,508.0,7485.0,7453.5
14117.5,517.5,7649.5,7617.5
16462.0,538.0,7929.5,7900.5
17969.5,547.0,8009.0,7985.5
18644.0,549.0,8059.0,8042.5
18725.0,549.5,7999.0,7985.5
19069.0,556.5,7791.0,7778.0
19128.5,554.5,7786.5,7775.5
20501.5,553.0,8522.0,8513.0
21097.0,547.5,9407.0,9397.5
20975.0,554.5,8872.5,8858.0
20240.0,558.5,7960.5,7947.0
19078.5,552.0,7829.0,7812.0
18642.0,556.5,7678.5,7658.5
17841.5,561.5,7362.0,7340.5
17310.5,568.0,7254.0,7231.0
17583.5,570.0,7260.5,7236.0
17120.0,566.5,7252.0,7226.5
16972.0,566.0,7263.5,7236.5
16722.0,565.0,7280.5,7251.5
15815.5,556.0,7276.5,7248.0
15474.5,551.5,7272.0,7244.0
16391.5,561.5,7304.0,7270.0
16391.5,563.5,7350.5,7313.0
17898.5,576.5,7087.0,7056.5
19468.5,580.5,7133.5,7110.5
20512.0,584.0,7250.0,7237.5
20634.0,581.0,7371.0,7360.5
20636.5,578.0,7413.0,7403.5
20581.0,579.5,7219.0,7210.5
20580.0,580.5,7127.5,7120.0
20767.5,580.0,6772.5,6764.0
22187.5,574.5,7254.0,7245.5
22899.0,559.5,8763.0,8755.0
22805.5,569.0,8047.5,8039.5
22141.5,578.5,7365.0,7357.5
20527.0,572.5,7051.5,7043.0
19680.5,581.0,6682.0,6675.0
18206.0,576.5,6392.5,6385.5
17584.0,575.0,6260.0,6251.0
17319.0,573.5,6277.0,6266.5
17133.0,576.0,6246.0,6234.0
16963.0,577.0,6258.0,6242.5
16383.0,568.5,6299.5,6283.5
15678.0,561.0,6313.5,6296.0
15601.5,561.5,6339.0,6319.0
15640.5,561.5,6350.0,6327.0
15319.0,560.5,6377.5,6353.0
16428.0,566.0,6541.5,6512.5
17840.5,562.5,7122.5,7090.0
18497.0,556.5,7523.0,7488.0
19299.0,563.5,7295.5,7264.0
19871.5,573.0,6953.5,6913.5
19761.5,575.0,6837.5,6791.5
19546.0,578.5,6828.0,6774.0
19187.0,565.0,6841.5,6787.5
20159.5,554.0,7529.5,7472.0
20818.0,540.5,8471.5,8414.0
20802.5,546.5,7990.0,7929.0
20730.5,566.0,7215.0,7152.5
20119.5,578.0,6620.5,6561.0
19047.5,579.5,6289.0,6232.0
18048.5,579.0,6108.5,6053.0
17402.0,579.0,5858.5,5806.0
17306.0,577.0,5833.5,5785.0
16799.0,575.5,5851.0,5799.0
16202.5,571.5,5846.5,5796.5
15826.0,568.5,5833.5,5786.5
15654.5,572.5,5830.5,5789.0
15317.5,571.0,5807.0,5771.0
15160.5,569.5,5810.5,5777.0
13754.5,553.0,5799.0,5767.5
14642.0,560.5,5803.5,5769.5
16752.5,573.5,5898.0,5868.0
18323.0,572.0,6220.5,6196.5
18986.5,560.5,6882.0,6858.0
19153.0,551.0,7677.0,7652.0
19147.0,549.5,7810.0,7785.5
19405.0,557.0,7166.5,7143.5
20099.0,568.5,6456.5,6432.0
21257.0,562.0,7179.5,7157.0
21638.5,552.0,8157.5,8136.5
21385.5,557.5,7713.0,7695.0
21269.0,577.0,6624.5,6604.5
20011.0,572.0,6461.5,6440.5
18527.5,568.0,6391.5,6358.5
17307.5,570.0,6120.5,6081.5
17023.0,573.0,6033.0,5989.0
17519.0,580.5,5675.5,5627.5
17591.5,583.5,5641.0,5585.0
17490.5,582.5,5648.0,5589.5
16946.0,579.0,5590.5,5543.0
16678.5,580.0,5573.0,5529.5
17149.0,584.0,5573.0,5531.0
18746.5,589.5,5572.0,5532.5
20474.5,582.0,6296.0,6258.5
21825.5,581.5,6793.0,6755.5
22329.5,575.0,7404.0,7365.0
22563.5,578.0,7171.5,7134.5
22827.0,579.5,7235.0,7207.5
23226.0,583.5,7043.5,7020.0
23550.5,587.5,6956.0,6931.5
23856.0,591.5,6834.0,6810.5
24269.5,601.5,6167.5,6144.5
24744.0,588.5,7243.5,7225.0
24939.5,576.5,8140.0,8124.5
24708.0,579.0,8007.5,7991.5
24353.0,585.0,7777.0,7759.5
23572.5,594.0,6729.0,6705.0
22636.0,599.0,6064.0,6028.5
21407.5,603.0,5573.0,5535.5
20483.5,601.0,5556.0,5511.5
20029.5,596.5,5541.5,5494.0
19910.0,596.5,5552.5,5498.0
19923.5,599.0,5550.0,5491.0
20035.5,602.0,5583.5,5516.0
20009.5,604.5,5684.5,5599.5
20390.5,603.5,5770.5,5670.0
21691.0,603.0,5845.5,5733.5
23826.0,607.0,6203.5,6083.0
24355.0,603.0,6555.0,6433.5
24551.5,595.5,7195.0,7075.0
24659.5,602.5,6464.0,6347.5
24667.5,603.5,6386.0,6266.0
24651.5,602.5,6425.5,6324.5
24663.0,604.5,6288.5,6201.0
24690.0,606.0,6206.0,6135.5
24605.0,607.5,6385.0,6323.0
24834.5,589.0,7617.0,7557.5
25397.5,583.5,8271.0,8223.5
25510.5,594.5,7407.0,7365.5
25521.5,598.0,7161.5,7131.5
25292.5,607.5,6397.0,6368.5
24254.0,609.5,6294.5,6267.0
22594.0,615.0,5769.0,5743.0
20909.5,606.5,5717.5,5691.5
20741.5,604.0,5732.0,5708.5
20788.0,605.5,5726.0,5704.0
20868.0,606.5,5698.0,5680.0
20842.0,608.0,5697.0,5679.5
20638.5,609.5,5713.0,5701.5
20921.5,613.5,5728.0,5719.0
22241.0,614.0,5756.5,5750.5
24027.5,606.5,6620.0,6616.0
24808.0,606.0,6691.5,6688.0
25067.5,605.5,6655.0,6650.5
25094.5,604.5,6572.0,6565.0
25088.5,603.5,6566.5,6558.5
25006.5,602.0,6606.0,6596.0
24987.0,605.5,6296.0,6284.5
25007.0,606.0,6316.0,6304.0
25038.0,594.5,6468.0,6447.5
24971.5,574.0,7568.0,7541.5
25046.5,564.0,8517.0,8481.5
25122.0,574.0,7671.5,7639.0
25117.0,593.5,7190.0,7143.0
24013.0,596.5,6576.0,6514.5
22101.5,593.0,6387.5,6333.5
21031.0,599.0,6015.5,5976.0
20592.5,605.0,6035.0,5985.5
20256.5,600.0,6158.5,6085.0
19970.5,598.0,6228.5,6142.0
19956.5,598.5,6237.5,6149.0
19859.0,600.0,6260.0,6167.0
19746.0,601.0,6288.5,6189.0
19953.0,603.0,6297.0,6196.5
21751.5,606.5,6304.5,6202.5
23307.5,600.0,6745.0,6636.5
24143.0,600.5,6781.5,6676.5
24756.5,604.5,6834.0,6728.0
24832.0,605.0,6746.0,6641.5
24742.0,604.0,6765.0,6672.0
24703.5,604.5,6755.0,6662.0
24613.0,607.5,6538.0,6451.0
24734.0,608.0,6599.5,6516.0
24898.0,603.5,6697.0,6612.0
25082.0,580.0,7482.0,7388.0
25105.0,566.0,8457.0,8367.5
24918.5,575.5,7532.0,7444.0
24737.5,592.0,7626.5,7534.0
24372.5,599.5,7366.0,7275.5
22682.5,597.5,6717.5,6637.5
21987.5,607.5,6308.5,6230.5
21506.0,613.5,6085.0,6012.5
21045.5,609.5,6009.5,5940.5
21245.5,614.0,5905.0,5834.5
21206.0,615.0,5874.0,5796.5
20854.0,612.5,5853.0,5777.5
20808.5,619.5,5698.0,5618.5
20875.5,618.5,5723.5,5636.0
21472.0,609.0,5839.0,5739.5
23090.5,601.0,6451.0,6352.5
24046.0,603.5,6430.5,6333.0
24659.0,601.0,6797.5,6695.0
24825.0,602.0,6705.0,6596.0
24902.0,603.0,6714.0,6610.5
25066.5,605.5,6714.5,6620.5
25181.0,612.5,6376.0,6275.5
25337.0,615.5,6346.5,6220.5
25208.0,615.0,6620.0,6474.0
25310.5,597.0,7640.0,7515.0
25146.5,584.0,8254.5,8122.0
24556.5,585.5,7763.0,7610.0
24290.5,585.0,8072.0,7909.0
23509.0,594.0,7279.0,7124.0
23002.0,602.5,6716.0,6576.5
22173.5,607.5,6514.5,6349.0
20957.0,604.5,6631.0,6437.0
21006.5,605.0,6739.5,6523.5
20557.5,602.5,6861.0,6625.5
20163.0,602.0,6914.5,6675.5
19865.0,598.5,7045.5,6796.0
19717.5,598.0,7074.5,6830.0
20028.0,599.5,7143.0,6890.5
20731.0,606.0,7121.0,6869.0
21287.5,607.0,7217.0,6959.5
21521.0,600.5,7352.5,7110.0
21583.0,582.5,7848.5,7599.5
21520.5,572.5,8219.5,7961.5
21428.0,569.5,8297.0,8047.5
21286.5,567.0,8366.0,8110.0
21134.5,570.0,8146.5,7881.0
21124.0,572.0,8018.5,7746.0
20902.0,570.0,7848.5,7573.0
21717.5,567.5,8059.5,7782.5
22096.0,550.5,9162.5,8884.0
22065.0,556.5,8769.5,8497.0
22009.0,567.5,8425.0,8156.5
21597.5,578.5,7953.5,7694.0
20883.5,583.5,7751.5,7492.0
19301.0,576.5,7671.5,7419.0
18475.5,578.5,7403.5,7154.0
18756.5,581.0,7428.5,7173.5
18751.0,585.5,7392.5,7139.0
18153.0,582.0,7329.0,7085.0
18261.0,585.0,7226.5,6990.5
17226.0,574.5,7340.0,7081.0
16309.5,563.5,7428.0,7153.0
16214.0,561.0,7474.5,7195.5
15445.0,551.5,7534.0,7254.0
16024.0,555.5,7595.5,7314.0
18316.0,572.5,7824.0,7547.0
20225.5,583.5,7704.5,7431.0
20881.5,582.5,7732.5,7458.0
21356.0,581.5,7965.0,7697.5
21185.0,581.5,7857.0,7587.5
21209.0,583.0,7920.0,7652.0
20613.0,579.5,7810.0,7534.0
21390.5,569.0,8288.5,8016.5
21838.0,561.5,9061.0,8803.5
21565.5,565.5,8628.0,8376.5
21567.0,569.5,8421.0,8160.5
21293.5,580.0,7909.0,7642.0
20048.0,580.0,7700.5,7440.0
17975.0,567.5,7663.0,7399.0
16829.0,563.5,7348.0,7088.0
17460.0,569.5,7374.0,7121.0
17206.5,570.0,7245.5,7003.5
16701.0,563.5,7355.0,7105.5
16110.0,555.5,7410.0,7159.0
15105.0,543.0,7549.5,7302.5
15125.0,541.5,7578.0,7334.0
18749.5,572.0,7572.0,7335.0
21164.5,571.5,8187.0,7954.0
22305.0,577.5,8086.5,7871.0
22710.5,577.5,8196.0,7998.0
22783.5,574.5,8368.0,8180.5
22816.5,570.5,8643.5,8451.0
22829.5,566.5,8964.5,8767.0
22924.5,571.5,8621.5,8426.0
22828.0,572.5,8436.5,8246.0
22759.0,578.0,7857.5,7681.0
23416.5,566.5,8523.0,8358.0
23570.5,556.5,9299.0,9144.5
23699.0,569.0,8512.5,8361.0
22981.5,568.5,8346.5,8198.5
22020.5,578.5,7428.0,7289.0
21812.5,589.5,7389.0,7238.5
20836.0,599.0,7021.5,6885.5
20288.5,603.0,6890.5,6754.5
20740.5,609.5,6769.0,6657.5
20808.5,611.0,6718.0,6616.5
20292.5,609.5,6729.0,6659.5
19773.0,607.5,6737.0,6682.0
19163.5,602.5,6678.5,6636.5
18883.5,599.5,6641.5,6608.0
20995.0,606.0,6676.5,6643.0
22755.5,599.0,6979.0,6947.0
23149.5,595.5,7162.0,7136.0
23158.0,593.5,7188.0,7165.0
23126.5,591.0,7282.5,7260.5
23190.0,591.5,7423.0,7407.0
23369.5,590.5,7555.5,7540.0
23561.0,593.0,7531.0,7515.0
23607.5,596.5,7303.5,7292.0
23876.5,602.5,7050.5,7040.0
24631.5,586.5,8129.0,8117.0
24939.5,570.5,8834.0,8822.5
25071.5,581.5,8422.5,8410.5
24922.0,595.5,7676.5,7668.0
24213.5,596.5,7520.0,7516.5
23241.5,604.5,7076.0,7074.0
22032.0,614.0,6508.0,6505.5
20697.5,614.0,6200.5,6199.0
20075.5,606.5,6208.5,6205.0
20085.5,605.5,6208.0,6205.5
20450.0,612.5,6341.5,6340.0
20536.5,614.5,6442.0,6440.5
20233.0,614.0,6448.5,6446.5
20003.5,609.0,6430.0,6428.5
21263.0,604.5,6435.0,6432.0
23194.5,596.0,7186.0,7181.5
23651.5,593.5,7363.0,7354.0
23579.0,587.5,7562.5,7545.0
23686.0,588.0,7563.5,7538.0
23793.0,586.0,7952.0,7921.5
23779.0,586.5,7823.5,7780.5
23792.5,592.5,7330.5,7270.0
23964.0,596.5,7183.0,7103.0
24274.5,604.5,6773.5,6675.5
24692.5,589.0,7801.5,7670.5
24849.0,572.5,8943.0,8790.0
24713.0,580.5,8398.5,8222.5
23709.5,572.5,8918.5,8715.5
22984.0,579.0,8322.5,8130.0
22854.5,590.0,7866.5,7678.5
22278.5,605.0,7502.0,7297.0
21308.5,608.0,7318.5,7115.5
21130.5,608.5,7134.5,6936.5
20803.0,605.5,7040.5,6846.5
20718.0,608.5,6912.5,6712.0
20374.5,606.5,7070.0,6862.0
19305.0,597.5,7213.0,7000.0
19120.0,593.0,7238.0,7022.0
20847.5,593.5,7448.0,7228.0
22249.0,584.5,7838.0,7609.0
22385.5,577.5,7999.5,7757.0
22603.5,578.0,8106.5,7856.5
22442.5,577.5,7804.5,7565.5
22472.0,575.0,8042.0,7800.5
22337.5,573.0,8024.0,7790.5
22132.5,574.5,7785.0,7541.0
22226.5,576.0,7763.5,7507.0
22637.0,581.0,7840.5,7585.5
22886.0,571.0,8688.0,8432.5
22958.0,565.0,8872.5,8622.5
22699.5,562.5,9081.5,8838.0
22622.5,569.5,8463.0,8220.5
22518.0,581.5,7751.0,7510.5
22417.5,594.5,7545.0,7316.0
22016.5,609.5,7022.0,6811.0
20599.0,614.5,6794.5,6609.5
20670.0,615.5,6781.0,6629.5
20596.5,618.0,6740.5,6594.0
20157.5,617.0,6733.5,6596.5
19332.0,611.0,6693.5,6565.5
18092.0,600.0,6572.0,6468.0
19207.0,609.0,6534.0,6436.0
21251.0,614.5,6532.5,6434.5
22493.5,596.0,7510.0,7395.0
22957.5,593.0,7634.5,7519.0
23024.5,594.5,7379.5,7237.0
23000.5,587.5,7886.0,7691.5
22931.0,587.5,7950.0,7736.5
22739.5,585.5,7983.0,7748.0
22766.0,585.0,7966.5,7732.0
22832.5,588.0,7894.0,7660.0
22570.0,587.5,7652.5,7435.0
22660.0,570.0,7795.0,7595.0
23060.0,559.0,8710.0,8530.0
22973.5,569.5,8364.5,8204.0
22406.0,582.0,7878.0,7749.5
21204.5,582.5,7624.5,7521.5
20469.5,589.5,7138.0,7041.0
19963.5,602.0,6748.5,6649.0
18335.5,583.0,6529.5,6434.5
17954.5,575.0,6608.0,6497.0
17680.0,573.5,6763.5,6616.0
16894.5,566.0,6835.0,6672.5
16055.0,561.0,6839.5,6666.0
14752.5,548.0,6631.5,6459.0
14401.5,547.0,6667.5,6479.5
15243.5,554.0,6843.5,6622.0
15673.0,548.5,7024.5,6801.0
17627.5,566.0,6967.0,6781.0
19278.5,567.5,7529.0,7349.0
19709.5,567.0,7645.5,7470.5
19663.0,564.5,7746.5,7553.0
19695.5,565.0,7805.0,7598.0
19385.0,564.5,7680.5,7476.0
18543.5,554.0,7711.0,7486.5
17456.0,536.5,7847.5,7622.5
18920.5,538.0,8049.0,7833.0
